sup_type,Push-Pull Props (기성품 및 당사제작품),4,bBasePlate,베이스 플레이트 유무,mainType,규격(상부),auxType,규격(하부),bAuxSupport,하부 지지대 유무,,,,,,,,,,
sup_type,Push-Pull Props (기성품),4,bBasePlate,베이스 플레이트 유무,mainType,규격(상부),auxType,규격(하부),bAuxSupport,하부 지지대 유무,,,,,,,,,,
sup_type,Push-Pull Props (당사제작품),4,bBasePlate,베이스 플레이트 유무,mainType,규격(상부),auxType,규격(하부),bAuxSupport,하부 지지대 유무,,,,,,,,,,
in_comp,변각인코너판넬,3,wid_s,가로,leng_s,세로,hei_s,높이,,,,,,,,,,,,
j_comp,잭서포트,2,j_stan,규격,j_leng,길이,,,,,,,,,,,,,,
sup_type,BASE PLATE,9,baseA,가로(베이스),baseB,세로(베이스),baseZ,높이(베이스),bMortar,모르타르여부,mortarZ,모르타르두께,bPlate,플레이트여부,plateA,가로(플레이트),plateB,세로(플레이트),plateZ,두께(플레이트)
sup_type,DOKA 동바리헤드,1,type,타입,,,,,,,,,,,,,,,,
sup_type,D콘,3,bolt_len,볼트 길이,bWasherLower,와셔(하) 여부,bWasherUpper,와셔(상) 여부,,,,,,,,,,,,
sup_type,GT24 거더 부속철물,0,,,,,,,,,,,,,,,,,,
sup_type,GUSSET PLATE,0,,,,,,,,,,,,,,,,,,
sup_type,WALL BRACE,4,shape,형태,nom,규격,len1,길이1,len2,길이2,,,,,,,,,,
band_type,기둥밴드,3,band_size,규격,c_w,가로,c_h,세로,,,,,,,,,,,,
sup_type,십자 조인트 바,0,,,,,,,,,,,,,,,,,,
sup_type,웰라,2,c_w,가로,c_h,세로,,,,,,,,,,,,,,
sup_type,창문 개구부 합판거푸집,7,bSill,밑틀 여부,inner_width,내부 너비,inner_height,내부 높이,wall_thk,벽 두께,gs_list_custom4,합판 면적,gs_list_custom10,각재 길이,gs_list_custom14,단열재 면적,,,,
cl_comp,클램프,0,,,,,,,,,,,,,,,,,,
sup_type,이형클램프,2,typeL,타입(L),typeR,타입(R),,,,,,,,,,,,,,
M_Type,4각후크,1,Size_Type,규격,,,,,,,,,,,,,,,,
sup_type,사각파이프 연결재,1,type,타입,,,,,,,,,,,,,,,,
w_comp,각도목,5,w_w,두께,w_h,너비,w_leng,길이,gs_list_custom02,규격,cuttingAngle,커팅 각도,,,,,,,,
sup_type,유로폼 연결철물,1,len,길이,,,,,,,,,,,,,,,,
bt_comp,비계계단,3,bt_w,계단폭,bt_leng,계단길이,bt_h,계단높이,,,,,,,,,,,,
f_comp,안전발판,1,f_sta,규격,,,,,,,,,,,,,,,,
f_comp,개폐형발판,1,f_sta,규격,,,,,,,,,,,,,,,,
sup_type,흥진 프라임 합벽,0,,,,,,,,,,,,,,,,,,
